source_id,ra_deg,dec_deg,paralaxe_mas,erro_paralaxe_mas,pmra_mas_ano,pmdec_mas_ano,vel_radial_km_s,G_mag,BP_RP
5951165616611763456,259.772654,-46.635758,113.7513,0.0725,1029.6095,106.9350,25.96,5.3014,0.9741
6847167606385195648,303.828665,-27.033781,113.4872,0.0516,1242.7627,-181.1750,-54.41,5.4813,1.0801
2627117287488522240,332.423152,-4.640835,113.4447,0.0300,1132.5833,-22.1573,-15.61,9.2372,2.5417
5951165616635298816,259.768532,-46.636360,113.2858,0.4302,952.0352,138.3803,26.02,7.9870,2.0250
4519789321942643072,286.770911,20.886488,113.2521,0.0296,-478.2669,-349.0880,32.01,9.8149,2.2833
4519789081415296128,286.802730,20.875538,113.2228,0.0192,-480.7541,-332.4982,31.90,9.8053,2.2869
5260759175761502976,98.438970,-75.623804,113.1318,0.0176,-328.7629,263.1168,12.67,10.2122,2.6525
5260759175761501696,98.424987,-75.628741,113.1304,0.0169,-297.9547,280.5873,11.73,9.3847,2.4487
3211461469444773376,75.206618,-5.758599,113.0715,0.0222,549.3087,-1108.2450,21.36,5.8865,1.2495
922225002820369152,119.554208,41.300643,112.9927,0.0259,216.8662,-687.6149,-20.87,10.6656,2.7916
2400808245117576704,339.690688,-20.614689,112.9867,0.0387,424.5898,-66.9826,-5.95,10.2121,2.7194
3519785523672576384,186.223890,-18.252556,112.6740,0.0241,1095.5916,-2309.0188,51.06,10.2900,2.3576
5260451999700465536,97.692927,-76.717005,112.6584,0.0934,-36.2068,524.2455,,13.1997,3.8882
4736655036868019072,53.567196,-49.890084,112.6100,0.0557,2360.5922,483.1275,,15.8371,5.1871
2964001014514075520,86.109104,-22.423405,112.4661,0.0225,-304.9050,-352.6057,-9.80,5.8682,1.1574
2400808142038361088,339.692027,-20.621487,112.3859,0.0555,449.2068,-79.0459,,8.1704,2.2654
2964000159821218432,86.114391,-22.450023,112.2960,0.1452,-291.7568,-368.5208,-8.99,3.4768,0.7528
3089711447388931584,124.031583,1.302843,111.8698,0.0228,-376.1958,60.5381,61.82,9.1332,2.2977
981548637301374336,105.987163,52.697727,110.8263,0.6945,675.7749,-921.8798,25.20,11.6991,3.2103
1057318835428596096,169.988104,65.847298,110.2305,0.0166,-2946.7180,181.9474,60.29,8.5276,1.9516
3478160727866058368,173.861908,-32.543748,110.1711,0.0204,-71.0601,-850.5922,17.69,8.8967,2.2076
5164120762333028736,55.811663,-9.760084,110.0254,0.1944,-93.6341,744.3604,,3.2756,1.1662
74203982469858816,34.126686,13.584959,109.9500,0.0704,504.2156,-433.1429,18.89,13.5558,3.9364
2349916559152267008,10.356220,-22.352334,109.9276,0.0202,-463.2060,-381.7839,,14.2972,0.9112
1893189736896880640,330.306566,28.307109,109.8548,0.0259,372.7973,42.7971,-6.44,10.6348,2.8738
954697944875755136,103.127223,47.176957,109.7651,0.2782,-117.6827,132.3480,,18.7817,4.2241
6109949904687424640,212.995399,-41.539722,109.7323,0.2316,-704.2214,-67.6480,-13.18,13.4191,3.9311
5717278911884258176,115.091923,-17.416066,109.3440,0.0181,1138.6899,-542.5559,,12.9702,0.3417
5717278911884264576,115.086083,-17.415138,109.2545,0.0392,1152.2430,-536.4117,,13.9569,4.3793
3303349202364648320,58.848402,11.559360,109.1381,0.4833,223.1818,-631.3035,,19.5352,3.5753
4034171629042489088,178.267353,37.692827,109.0296,0.0197,4002.6546,-5817.8002,-98.05,6.1985,1.0016
1470462322431834880,205.679693,33.286924,108.7903,0.0440,-111.8047,-712.4083,6.01,10.7199,2.7649
1460229442589223424,197.964282,27.882105,108.7250,0.1645,-800.7201,882.3013,5.30,4.0933,0.7621
2976507997939000064,77.148374,-18.178273,108.3254,0.0976,503.5941,-1399.6318,,9.0549,2.7088
2976850598890749824,75.832622,-17.375510,108.2732,0.0398,-228.2872,-444.6851,14.76,10.5617,2.5987
2571094283835172736,30.564636,10.335958,108.2582,0.0578,-673.6390,-280.5851,23.08,13.4353,3.8737
6401464693867773568,321.611716,-65.362640,108.0102,0.1061,80.8152,800.5727,-29.78,4.0891,0.7056
3085716990368639744,117.978968,-0.006769,107.8488,0.0421,263.5429,-756.8634,39.20,11.6535,3.1159
3269362645115584640,49.841601,3.370616,107.8023,0.1838,269.2979,93.9565,18.73,4.6565,0.8589
1227133699053734528,214.100705,13.807845,107.7375,0.2163,86.6702,127.9528,,18.3283,4.8704
5381537023379295744,176.627238,-40.494862,107.4237,0.0351,-1534.6787,381.3964,17.23,11.7247,2.9091
423027104407576576,2.874735,59.139227,107.3873,0.0273,-905.7218,-1166.8263,,13.4680,3.8216
5381537023379295232,176.620521,-40.498565,107.3024,0.0873,-1530.9705,403.2866,16.94,4.7017,0.8564
5138510181584617856,31.276275,-17.615403,107.2972,0.2307,1275.2181,-169.7014,25.96,9.1705,2.3956
4485574134969389312,275.368367,14.232473,107.0339,0.1856,227.5714,-247.2287,,18.6524,4.2883
4667836363565989120,55.035135,-67.399013,106.8602,0.4379,-331.0384,499.6450,,20.0455,3.3193
