tempo_s,strain_H1,strain_L1
-1.910645,4.049170e-19,-6.095867e-19
-1.910400,3.568674e-19,-5.687750e-19
-1.910156,3.753627e-19,-5.070910e-19
-1.909912,4.014451e-19,-5.015173e-19
-1.909668,3.617732e-19,-5.780299e-19
-1.909424,3.553954e-19,-6.322193e-19
-1.909180,3.594358e-19,-6.382838e-19
-1.908936,3.602476e-19,-6.477857e-19
-1.908691,3.693990e-19,-6.430749e-19
-1.908447,3.290391e-19,-6.071101e-19
-1.908203,3.207011e-19,-5.502627e-19
-1.907959,3.614657e-19,-5.405249e-19
-1.907715,3.329922e-19,-6.144711e-19
-1.907471,3.058317e-19,-6.728717e-19
-1.907227,3.221868e-19,-6.764998e-19
-1.906982,3.147573e-19,-6.810154e-19
-1.906738,3.233820e-19,-6.817356e-19
-1.906494,3.028325e-19,-6.472925e-19
-1.906250,2.697597e-19,-5.938222e-19
-1.906006,3.112392e-19,-5.841987e-19
-1.905762,3.056324e-19,-6.509835e-19
-1.905518,2.608210e-19,-7.128151e-19
-1.905273,2.750809e-19,-7.147234e-19
-1.905029,2.754058e-19,-7.170000e-19
-1.904785,2.737249e-19,-7.224873e-19
-1.904541,2.672875e-19,-6.899410e-19
-1.904297,2.285839e-19,-6.403037e-19
-1.904053,2.505530e-19,-6.271998e-19
-1.903809,2.704446e-19,-6.919515e-19
-1.903564,2.221140e-19,-7.558112e-19
-1.903320,2.194617e-19,-7.541057e-19
-1.903076,2.364647e-19,-7.557077e-19
-1.902832,2.256209e-19,-7.625241e-19
-1.902588,2.245571e-19,-7.345513e-19
-1.902344,1.923176e-19,-6.882665e-19
-1.902100,1.901870e-19,-6.763528e-19
-1.901855,2.269507e-19,-7.382453e-19
-1.901611,1.893201e-19,-7.988225e-19
-1.901367,1.629897e-19,-7.990407e-19
-1.901123,1.889939e-19,-7.975224e-19
-1.900879,1.814579e-19,-8.068866e-19
-1.900635,1.744583e-19,-7.825499e-19
-1.900391,1.567928e-19,-7.358165e-19
-1.900146,1.370329e-19,-7.261775e-19
-1.899902,1.700135e-19,-7.827156e-19
-1.899658,1.594565e-19,-8.437860e-19
-1.899414,1.152891e-19,-8.458448e-19
-1.899170,1.323523e-19,-8.374081e-19
-1.898926,1.399396e-19,-8.517925e-19
-1.898682,1.240696e-19,-8.314364e-19
-1.898438,1.139543e-19,-7.860686e-19
-1.898193,9.073278e-20,-7.808389e-19
-1.897949,1.074155e-19,-8.308585e-19
-1.897705,1.199390e-19,-8.891150e-19
-1.897461,7.401966e-20,-8.933684e-19
-1.897217,7.129629e-20,-8.818745e-19
-1.896973,9.604430e-20,-8.957999e-19
-1.896729,7.886778e-20,-8.814885e-19
-1.896484,6.427817e-20,-8.398249e-19
-1.896240,4.879651e-20,-8.339787e-19
-1.895996,4.869839e-20,-8.829468e-19
-1.895752,7.027947e-20,-9.389728e-19
-1.895508,3.855358e-20,-9.436707e-19
-1.895264,1.317427e-20,-9.280149e-19
-1.895020,4.151534e-20,-9.408262e-19
-1.894775,3.466920e-20,-9.348476e-19
-1.894531,1.255185e-20,-8.931077e-19
-1.894287,3.900952e-21,-8.867314e-19
-1.894043,-2.228544e-21,-9.347087e-19
-1.893799,1.611346e-20,-9.861128e-19
-1.893555,4.240671e-22,-9.925938e-19
-1.893311,-3.639970e-20,-9.759404e-19
-1.893066,-1.907142e-20,-9.881331e-19
-1.892822,-7.297278e-21,-9.863189e-19
-1.892578,-3.356957e-20,-9.488687e-19
-1.892334,-4.755779e-20,-9.441552e-19
-1.892090,-4.985031e-20,-9.885830e-19
