supernova,z_CMB,modulo_distancia_mu,erro_mu
PSNJ2352371,0.02525,35.4014,0.2005
2005M,0.02584,35.2931,0.1795
2005M,0.02584,35.1081,0.1982
2005M,0.02584,34.8350,0.3483
SN2017mf,0.02618,35.3111,0.1787
2005mc,0.02597,35.2855,0.2889
2005mc,0.02597,35.3429,0.3232
ASASSN-15uu,0.02579,35.0223,0.3723
2005ms,0.02595,35.3080,0.1796
1999gp,0.02603,35.2688,0.1834
1999gp,0.02603,35.2892,0.2059
ASASSN-15mf,0.02691,35.1184,0.1814
ASASSN-17at,0.02643,35.2513,0.1868
SNF20071021-000,0.02640,35.3224,0.2161
2013fn,0.02724,35.2892,0.2989
2002eb,0.02633,35.2673,0.1724
2007co,0.02655,35.3437,0.2308
2007co,0.02655,35.1118,0.3466
2007co,0.02655,35.2270,0.2616
1992P,0.02643,35.3130,0.2201
2007su,0.02660,35.3042,0.3529
ASASSN-15fa,0.02721,35.5236,0.2253
2005na,0.02717,35.1130,0.1727
2005na,0.02717,35.1538,0.1869
2005na,0.02717,35.1117,0.1703
ASASSN-16av,0.02676,35.3467,0.2899
2006gj,0.02770,35.7258,0.3217
2010ii,0.02704,35.1306,0.1848
2006ev,0.02759,35.6739,0.2164
PSNJ0252467,0.02748,35.3613,0.1906
2009aa,0.02827,35.3174,0.1734
2011hb,0.02775,35.2874,0.2929
2005eq,0.02831,35.5061,0.1631
2005eq,0.02831,35.5563,0.1602
2005eq,0.02831,35.5580,0.1610
2003U,0.02794,35.2665,0.1775
2009ad,0.02834,35.3720,0.1603
2009ad,0.02834,35.3421,0.1565
2002el,0.02778,35.1049,0.1817
2008ar,0.02732,35.4368,0.1803
2008ar,0.02732,35.2913,0.1782
2008ar,0.02732,35.3590,0.1802
AT2017ns,0.02802,35.1963,0.3666
2004gs,0.02829,35.5996,0.2350
SN2017ckx,0.02779,35.6596,0.2514
2007is,0.02953,35.3449,0.2114
2013bs,0.02859,35.4105,0.2019
1998ab,0.02806,34.9487,0.2277
1993ah,0.02828,35.2763,0.6551
2006qo,0.02871,35.4779,0.2754
ASASSN-15la,0.02845,35.0558,0.2187
1996C,0.02875,35.5152,0.2508
PS16cvc,0.02844,35.6948,0.1833
ASASSN-15fs,0.02850,35.2391,0.1858
2003ch,0.02895,35.6024,0.1700
ASASSN-16ay,0.02895,35.6222,0.3000
PSNJ0859349,0.02874,35.4720,0.2258
ASASSN-16fs,0.02990,35.2761,0.1809
LSQ12gdj,0.02886,35.0939,0.2727
2000cw,0.02896,35.6079,0.2242
2002de,0.03050,35.3638,0.2837
ASASSN-16aj,0.03053,35.4654,0.1779
ASASSN-16br,0.02900,35.5064,0.1909
AT2017zd,0.03048,35.2781,0.1941
ASASSN-16hh,0.02935,35.5015,0.1904
ATLAS17ajn,0.02988,35.5116,0.1908
Gaia16bba,0.02934,35.4354,0.1853
1997dg,0.02962,35.8610,0.1925
2004ef,0.02978,35.5195,0.1961
2004ef,0.02978,35.4838,0.1993
2004ef,0.02978,35.4761,0.2335
ASASSN-15nq,0.03025,35.5185,0.1660
AT2017lm,0.03002,35.5542,0.2163
ASASSN-16fo,0.02994,35.4803,0.1738
ASASSN-16es,0.02973,35.5345,0.2582
AT2016cyt,0.02965,35.3586,0.1645
2013fy,0.03099,35.3522,0.3432
ASASSN-15uw,0.03004,35.6084,0.2127
ASASSN-16hr,0.02980,35.4648,0.2787
PS15cwx,0.03007,35.4164,0.1848
1990O,0.03093,35.4926,0.1665
2001ba,0.03136,35.6481,0.2067
2009eu,0.03072,35.9224,0.3993
2009fv,0.03072,35.4060,0.3321
2009fv,0.03072,35.3374,0.3753
SNF20080909-030,0.03013,35.5650,0.1837
2008gg,0.03107,35.6700,0.2368
2008gg,0.03107,35.5409,0.1849
1999cc,0.03132,35.5877,0.1691
AT2017wb,0.03093,35.5304,0.2836
MASTEROTJ08,0.03156,35.6675,0.1745
2007bd,0.03141,35.4957,0.1760
2007bd,0.03141,35.5793,0.1487
2007bd,0.03141,35.4841,0.1538
2006bt,0.03241,35.7720,0.2242
2006bt,0.03241,35.7428,0.2268
2006bt,0.03241,35.7867,0.2167
2006bw,0.03075,35.6231,0.3209
ASASSN-15hg,0.03107,35.6461,0.1962
ATLAS17axb,0.03264,35.5602,0.1856
2010gn,0.03123,35.9119,0.2739
CSS160428,0.03081,35.7017,0.1643
2000dn,0.03081,35.7070,0.2206
2006en,0.03081,35.6474,0.1942
2006en,0.03081,35.6847,0.1881
2008bq,0.03279,35.7279,0.1781
ASASSN-16oz,0.03207,35.4592,0.2761
2006az,0.03158,35.4896,0.1487
010026,0.03174,35.6746,0.2021
AT2017po,0.03201,35.5760,0.1968
2007ai,0.03212,35.8562,0.2588
2007ai,0.03212,35.8577,0.2946
2007ux,0.03183,35.8808,0.1900
2007ux,0.03183,35.6656,0.2745
ASASSN-15pr,0.03189,35.9082,0.1982
2008gl,0.03246,35.6638,0.1560
2008gl,0.03246,35.6366,0.1699
2008gl,0.03246,35.6431,0.1484
SN2016hpx,0.03370,35.6329,0.2040
SN2017cii,0.03337,35.8381,0.1787
2006te,0.03212,35.7248,0.1535
2006os,0.03212,35.7992,0.3260
2004as,0.03250,35.7324,0.2202
2004as,0.03250,35.8907,0.2257
ASASSN-16bc,0.03314,35.6164,0.1680
2008gp,0.03245,35.6643,0.1509
2008gp,0.03245,35.7268,0.1626
2010ag,0.03336,35.8159,0.1990
2005iq,0.03292,35.8647,0.1510
2005iq,0.03292,35.8516,0.1436
PS15bsq,0.03309,35.7797,0.1597
2004L,0.03344,35.8290,0.2737
2003gn,0.03316,36.0229,0.2430
2003cq,0.03323,35.8276,0.2591
2006S,0.03310,35.9089,0.1772
2011dl,0.03432,35.7587,0.3130
2006gr,0.03352,35.9188,0.2074
2006gr,0.03352,35.9378,0.2113
ASASSN-16dw,0.03565,35.7837,0.2171
2007ba,0.03533,35.8250,0.3406
ATLAS17ajs,0.03370,35.9757,0.3581
1996bl,0.03481,35.7348,0.1557
2003kc,0.03410,35.8566,0.2058
2003iv,0.03351,35.9118,0.1656
ASASSN-15jl,0.03492,35.8816,0.1693
1992bg,0.03574,35.8937,0.2117
2005eu,0.03369,35.8012,0.4833
2005eu,0.03369,35.8038,0.4821
2008at,0.03497,35.8349,0.3342
ASASSN-15tg,0.03445,35.8610,0.1686
2007hu,0.03518,35.9905,0.3748
PTSS-16efw,0.03542,36.2340,0.1885
2016fbk,0.03495,35.9591,0.2252
AT2016fbk,0.03495,36.1545,0.2303
1994T,0.03564,35.9325,0.2042
ASASSN-15mi,0.03501,35.5515,0.2043
ASASSN-15ss,0.03592,35.9909,0.1872
2001ck,0.03544,35.8586,0.2235
PS15bbn,0.03602,36.1845,0.1872
ASASSN-15lu,0.03577,36.0035,0.1853
2008hj,0.03643,35.9282,0.1566
2008hj,0.03643,35.8836,0.1851
2000dg,0.03725,36.0748,0.2893
2002G,0.03631,35.8056,0.3082
2002G,0.03631,35.9287,0.3185
2006mo,0.03616,36.0695,0.1750
2008ei,0.03654,36.0800,0.3368
2002hu,0.03591,35.9637,0.1666
2000cf,0.03646,36.0475,0.1663
2001eh,0.03627,36.0067,0.1352
2001eh,0.03627,35.9927,0.1492
ASASSN-16db,0.03589,35.8698,0.1897
AT2016hns,0.03704,35.9789,0.1637
ASASSN-15bc,0.03639,35.9490,0.2626
2007jg,0.03652,36.3333,0.1712
2007jg,0.03652,36.2185,0.1713
AT2016cvw,0.03761,36.0063,0.2067
2002eu,0.03672,36.0624,0.1630
2008gb,0.03641,36.0889,0.1989
