planeta,estrela,a_UA,R_Rterra,Teff_K,L_Lsol,distancia_pc
HAT-P-35 b,HAT-P-35,0.04978,14.930,6096,2.4159,506.96
Kepler-1935 b,Kepler-1935,0.04630,2.503,5570,1.4588,904.70
Kepler-343 c,Kepler-343,0.16700,2.020,5807,1.6451,927.19
Kepler-920 c,Kepler-920,0.40290,3.800,5403,0.65625,1001.68
Kepler-304 e,Kepler-304,0.02317,1.200,4817,0.21797,434.68
HD 190360 b,HD 190360,3.96500,13.500,5560,1.1654,16.01
Kepler-1526 b,Kepler-1526,0.04180,2.430,4601,0.19647,555.57
HAT-P-64 b,HAT-P-64,0.05387,19.089,6457,4.66,651.90
HD 92788 b,HD 92788,0.97000,13.000,5744,1.0471,34.65
KOI-3503 b,KOI-3503,0.14247,1.190,6001,1.9955,887.06
Kepler-1879 b,Kepler-1879,0.09570,2.065,5865,2.4235,627.17
Kepler-526 b,Kepler-526,0.06518,1.990,5894,2.2416,666.15
Kepler-541 b,Kepler-541,0.06447,3.360,6166,5.6892,1060.68
CoRoT-23 b,CoRoT-23,0.04800,11.770,5900,1.2212,1060.97
HD 28109 c,HD 28109,0.30800,4.130,6189,2.71,139.61
K2-11 b,K2-11,0.22570,7.550,5433,0.48934,329.31
Kepler-246 b,Kepler-246,0.05200,2.340,5206,0.38603,626.08
Kepler-22 b,Kepler-22,0.81200,2.100,5596,0.6453,194.64
Kepler-818 b,Kepler-818,0.08860,5.110,5638,0.75162,925.04
Kepler-1189 b,Kepler-1189,0.04670,1.770,6012,1.0987,782.85
WASP-20 b,WASP-20,0.05999,15.468,5940,1.7338,211.88
WASP-182 b,WASP-182,0.04510,9.528,5638,1.4304,327.60
EPIC 249893012 c,EPIC 249893012,0.13000,3.670,5430,2.2682,321.30
WASP-35 b,WASP-35,0.04317,14.572,5990,1.3941,202.22
Kepler-529 c,Kepler-529,0.10750,2.000,6087,1.6106,799.01
HD 65216 c,HD 65216,5.75000,13.400,5612,0.70827,35.12
Kepler-313 c,Kepler-313,0.20800,2.570,5727,2.051,1079.40
GJ 180 c,GJ 180,0.12900,2.410,3371,0.013,11.94
TOI-3629 b,TOI-3629,0.04300,8.295,3870,0.075,130.09
HD 31527 d,HD 31527,0.80980,3.460,5898,1.2,38.45
HAT-P-61 b,HAT-P-61,0.03010,10.077,5587,0.76701,338.84
TOI-712 c,TOI-712,0.24470,2.701,4622,0.1871,58.62
TOI-2589 b,TOI-2589,0.30000,12.106,5579,0.99001,200.27
NGTS-27 b,NGTS-27,0.04460,15.648,5700,3.264,942.12
Kepler-84 e,Kepler-84,0.18100,2.600,6031,1.6293,1023.90
Kepler-1011 b,Kepler-1011,0.06330,2.870,5416,0.42076,736.78
HD 137496 b,HD 137496,0.02732,1.310,5799,2.3245,155.32
Kepler-1600 b,Kepler-1600,0.98141,3.130,5214,0.45767,1030.81
Kepler-49 c,Kepler-49,0.07821,2.444,4096,0.074,311.22
HD 24064 b,HD 24064,1.29000,12.300,4052,351.79,300.25
Kepler-441 b,Kepler-441,0.64000,1.640,4340,0.08892,268.00
Kepler-126 c,Kepler-126,0.16200,1.580,6239,2.8314,237.40
K2-14 b,K2-14,0.06270,4.810,3789,0.10753,364.05
Kepler-748 b,Kepler-748,0.07450,2.520,5934,2.2918,1705.99
Kepler-1349 b,Kepler-1349,0.03421,0.700,6086,2.2011,276.32
Kepler-394 d,Kepler-394,0.05904,1.501,6398,1.131,1058.72
Kepler-619 c,Kepler-619,0.02216,1.690,5980,0.91197,900.68
Kepler-253 b,Kepler-253,0.04600,1.630,5208,0.40982,838.60
K2-113 b,K2-113,0.06420,12.140,5660,1.02,635.72
Kepler-898 b,Kepler-898,0.05450,1.490,4223,0.13333,484.89
TOI-2107 b,TOI-2107,0.03515,13.574,5627,0.786,236.71
WASP-58 b,WASP-58,0.05620,16.029,5800,1.4454,290.40
HD 33844 c,HD 33844,2.24000,13.500,4861,14.1,105.78
Kepler-139 c,Kepler-139,0.58600,3.380,5594,1.0375,391.04
DP Leo b,DP Leo,8.19000,12.700,13500,0.0039811,305.68
G 192-15 c,G 192-15,1.13700,3.870,2999,0.002124,9.53
Kepler-641 b,Kepler-641,0.08950,1.850,5713,2.4548,969.92
75 Cet b,75 Cet,1.91200,13.300,4809,51.82,82.96
HD 164595 b,HD 164595,0.23000,4.160,5790,1.0405,28.25
GJ 3473 c,GJ 3473,0.08760,2.630,3347,0.015,27.36
Kepler-217 c,Kepler-217,0.08900,1.850,6171,5.6697,1104.64
Kepler-235 d,Kepler-235,0.12200,2.050,4255,0.079001,428.02
Kepler-642 b,Kepler-642,0.05631,2.900,6570,2.4979,781.58
Kepler-457 d,KOI-7892,0.09960,2.985,6474,1.9893,1072.30
HD 180314 b,HD 180314,1.44800,12.000,4917,44,122.36
Kepler-868 b,Kepler-868,0.05750,2.050,5614,1.1705,1593.13
Kepler-551 b,Kepler-551,0.08930,2.730,4286,0.12731,311.18
bet Cnc b,bet Cnc,1.70000,12.600,4092,794.33,89.05
Kepler-153 b,Kepler-153,0.12900,2.920,5404,0.35785,459.37
Kepler-181 c,Kepler-181,0.04900,1.990,5333,0.41804,609.28
KOI-217 b,KOI-217,0.04770,12.442,5545,0.67808,914.70
HD 97037 b,HD 97037,6.92500,12.100,5874,1.7126,32.41
Kepler-776 b,Kepler-776,0.05230,1.280,5071,0.36597,727.90
HD 30177 c,HD 30177,9.90000,12.900,5680,1.212,55.59
TOI-712 b,TOI-712,0.07928,2.049,4622,0.1871,58.62
V1298 Tau b,V1298 Tau,0.16850,9.410,4970,0.954,108.20
DMPP-2 b,DMPP-2,0.06638,14.200,6500,1.27,137.94
TOI-3288 b,TOI-3288,0.02285,12.240,4072,0.1117,200.50
Kepler-1413 b,Kepler-1413,0.10660,1.820,5196,0.40658,1167.49
HIP 5158 c,HIP 5158,7.70000,12.200,4813,0.27492,51.60
HATS-60 b,HATS-60,0.04708,12.924,5688,1.996,486.47
Kepler-465 b,Kepler-465,0.09195,2.950,6310,2.178,553.08
Kepler-953 c,Kepler-953,0.08620,1.190,5416,0.76033,258.89
HD 189567 b,HD 189567,0.11100,2.850,5726,2.11,17.91
Wolf 503 b,Wolf 503,0.05706,2.043,4716,0.211,44.53
Kepler-1525 b,Kepler-1525,0.03557,0.910,5748,0.97454,382.99
Kepler-1009 b,Kepler-1009,0.07960,2.170,4027,0.10296,355.02
TOI-1075 b,TOI-1075,0.01159,1.791,3875,0.07172,61.46
Kepler-250 c,Kepler-250,0.06900,2.280,5160,0.34907,760.59
HD 215497 c,HD 215497,1.31000,13.000,5113,0.38905,40.55
HD 169142 b,HD 169142,37.20000,13.100,7246,5.8675,113.60
Kepler-1420 b,Kepler-1420,0.06710,1.280,5187,0.58615,1054.37
TOI-672 b,TOI-672,0.03760,5.310,3810,0.04799,66.91
TOI-1696 b,TOI-1696,0.02290,3.090,3185,0.00711,64.92
Kepler-1514 c,Kepler-1514,0.09970,1.176,6145,2.13,397.29
HD 95089 c,HD 95089,3.33000,13.100,4918,13.5,136.96
Kepler-1562 b,Kepler-1562,0.33080,3.550,5760,3.0955,2060.72
HD 20781 d,HD 20781,0.16470,3.250,5256,0.49,35.97
Kepler-79 e,Kepler-79,0.39445,3.530,6389,2.1979,1020.72
Kepler-235 c,Kepler-235,0.06500,1.280,4255,0.079001,428.02
HATS-31 b,HATS-31,0.04780,18.383,6050,4.16,773.97
Kepler-20 d,Kepler-20,0.34740,2.606,5495,0.68468,282.56
HD 69830 b,HD 69830,0.07850,3.170,5385,0.60256,12.56
TOI-904 b,TOI-904,0.05600,2.426,3770,0.051,46.09
TOI-1130 b,TOI-1130,0.04530,3.660,4360,0.14,58.26
DMPP-1 c,DMPP-1,0.09730,3.310,6196,2.0871,62.54
TOI-1268 b,TOI-1268,0.07110,9.100,5300,0.51541,109.56
Kepler-947 b,Kepler-947,0.17730,2.280,5508,1.3882,1730.78
TOI-1246 c,TOI-1246,0.06100,2.451,5213,0.5,169.42
Kepler-1402 b,Kepler-1402,0.03220,0.760,5416,2.8038,1493.64
HD 204313 e,HD 204313,7.45700,12.200,5767,1.2584,47.79
HD 95086 b,HD 95086,55.70000,12.900,7595,6.6258,86.23
Kepler-454 d,Kepler-454,5.10000,13.300,5687,1.1287,230.87
K2-27 b,K2-27,0.06702,4.740,5246,0.53739,249.65
gam1 Leo b,gam1 Leo,1.19000,12.500,4330,323.59,39.89
Kepler-689 b,Kepler-689,0.14490,2.890,5518,0.70264,1131.73
TOI-677 b,TOI-677,0.10410,13.115,6295,2.0498,141.81
HD 211970 b,HD 211970,0.14300,3.660,4127,0.086141,13.13
Kepler-271 b,Kepler-271,0.08784,1.230,5555,0.55823,404.54
CoRoT-24 c,CoRoT-24,0.09800,5.000,4950,0.25033,591.55
K2-21 c,K2-21,0.10700,2.490,4222,0.10353,83.64
Kepler-1205 b,Kepler-1205,0.01960,1.410,5226,0.38169,698.49
Kepler-1814 c,Kepler-1814,0.01330,1.760,4922,0.31208,726.35
HD 73526 c,HD 73526,1.03000,13.300,5601,2.1771,97.24
Kepler-1067 c,Kepler-1067,0.06069,1.747,5594,0.71244,667.69
HD 94771 b,HD 94771,3.48000,14.200,5631,3.28,57.78
Kepler-336 c,Kepler-336,0.09200,2.100,5867,1.8197,768.86
Kepler-252 b,Kepler-252,0.05800,1.230,4208,0.16381,379.42
EPIC 201841433 b,EPIC 201841433,0.03500,1.040,5053,0.23198,436.49
WASP-75 b,WASP-75,0.03750,14.235,6100,2.0149,294.00
Kepler-1181 b,Kepler-1181,0.06210,1.570,6176,2.9678,938.42
TOI-6884 b,TOI-6884,0.06290,10.391,6330,4.91,562.38
Kepler-423 b,Kepler-423,0.03585,13.361,5560,0.9594,758.75
HD 47366 b,HD 47366,1.20700,13.400,4866,26.1,84.36
Kepler-65 d,Kepler-65,0.08400,1.520,6211,2.9336,303.73
2M0437 b,2MASS J04372171+2651014,118.00000,13.000,3100,0.068599,128.48
K2-79 b,K2-79,0.09870,4.150,5897,1.76,256.01
Kepler-1395 b,Kepler-1395,0.04974,0.800,6138,1.892,492.89
HD 122562 c,HD 122562,0.40600,10.100,4956,2.5527,53.25
Kepler-201 b,Kepler-201,0.17500,2.460,6065,2.2293,636.45
Kepler-1518 b,Kepler-1518,0.05930,3.050,6846,4.9082,903.51
Kepler-1383 b,Kepler-1383,0.11397,1.410,6370,3.6959,1027.21
Kepler-229 c,Kepler-229,0.11700,4.920,5120,0.28977,826.26
Kepler-800 b,Kepler-800,0.11060,2.850,5315,0.43855,1019.26
Kepler-561 b,Kepler-561,0.29256,6.960,5646,0.66109,621.38
HD 21693 b,HD 21693,0.14550,2.800,5430,0.62,33.26
GJ 4276 b,GJ 4276,0.08200,4.220,3387,0.0197,21.34
14 Her b,14 Her,2.83900,12.500,5338,0.70351,17.93
Kepler-1272 b,Kepler-1272,0.27050,2.370,5926,2.3459,1206.37
GJ 229 b,GJ 229,1.08600,3.970,3564,0.028,5.76
WASP-47 e,WASP-47,0.01673,1.830,5565,1.0756,264.78
Kepler-137 c,Kepler-137,0.13000,1.880,5187,0.51011,302.98
HD 47536 b,HD 47536,1.93000,12.600,4380,177.19,122.54
TOI-782 b,TOI-782,0.05780,2.734,3370,0.01984,52.51
GJ 414 A b,GJ 414 A,0.23240,2.630,4120,0.119,11.89
Kepler-309 c,Kepler-309,0.40100,2.510,4713,0.26669,544.57
HAT-P-65 b,HAT-P-65,0.04042,18.058,5872,2.97,738.52
GJ 422 b,GJ 422,0.11100,3.330,3323,0.011,12.66
HD 48948 b,HD 48948,0.06520,2.060,4593,0.16261,16.90
Kepler-722 b,Kepler-722,0.05140,2.630,5863,0.91363,1239.50
HD 220074 b,HD 220074,1.60000,12.200,3787,782.6,324.54
24 Boo b,24 Boo,0.19400,13.900,4816,75.32,95.99
HD 180617 b,HD 180617,0.34300,3.530,3534,0.032359,5.91
HD 74156 c,HD 74156,3.67800,12.500,6068,2.5162,57.60
Kepler-1478 b,Kepler-1478,0.16810,1.730,5904,2.0144,1845.58
Kepler-418 c,Kepler-418,0.10632,5.221,5822,1.2916,1002.53
HD 110067 d,HD 110067,0.13620,2.852,5266,0.43427,32.16
Kepler-333 c,Kepler-333,0.13500,1.110,4259,0.118,324.41
HD 79498 b,HD 79498,2.98000,13.600,5748,1.0715,48.95
Kepler-203 c,Kepler-203,0.06100,2.470,5821,1.2408,703.30
TOI-1203.01,TOI-1203,0.16320,2.918,5737,1.3482,64.99
Kepler-238 d,Kepler-238,0.11500,3.070,5751,2.6945,1798.75
Kepler-221 b,Kepler-221,0.03700,1.710,5243,0.39419,385.23
Kepler-745 b,Kepler-745,0.09150,2.160,5849,2.3745,1780.38
Kepler-810 b,Kepler-810,0.05500,1.930,5803,0.92991,1458.59
Kepler-1365 c,Kepler-1365,0.05701,0.800,5770,2.6594,840.13
Kepler-353 b,Kepler-353,0.05100,0.890,3903,0.064999,384.69
HD 28109 d,HD 28109,0.41100,3.110,6189,2.71,139.61
CoRoT-21 b,CoRoT-21,0.04170,14.572,6200,5.0699,1398.83
HD 20003 c,HD 20003,0.19640,3.890,5494,0.72,41.83
Kepler-716 b,Kepler-716,0.08628,2.900,5099,0.31316,635.01
TOI-4034 b,TOI-4034,0.03289,17.710,5891,3.3964,745.14
Kepler-101 b,Kepler-101,0.04740,5.770,5667,2.6323,927.98
HAT-P-4 b,HAT-P-4,0.04438,14.280,5860,2.6977,320.45
Kepler-619 d,Kepler-619,0.10210,4.170,6122,0.91197,900.68
Kepler-411 c,Kepler-411,0.07390,4.421,4974,0.26364,153.68
Kepler-1601 b,Kepler-1601,0.03281,0.820,5869,1.2162,644.46
HD 134606 b,HD 134606,0.10460,2.970,5576,1.161,26.79
K2-66 b,K2-66,0.05983,2.490,5887,3.2078,513.88
TOI-1691 b,TOI-1691,0.12937,3.660,5759,0.93201,111.44
K2-230 b,K2-230,0.04090,1.960,5945,2.0769,540.77
HD 20003 b,HD 20003,0.09740,3.430,5494,0.72,41.83
GJ 667 C g,GJ 667 C,0.54900,1.990,3350,0.013709,7.24
Kepler-1026 b,Kepler-1026,0.19770,2.210,4948,0.24161,351.24
Kepler-445 b,Kepler-445,0.02170,1.580,3157,0.0079444,127.20
K2-117 b,K2-117,0.01890,2.030,3778,0.044,101.63
Kepler-138 d,Kepler-138,0.12880,1.510,3841,0.056,66.86
Kepler-540 b,Kepler-540,0.58822,2.710,5946,1.6091,390.37
Kepler-33 c,Kepler-33,0.11890,3.200,5904,3.5975,1209.16
KELT-10 b,KELT-10,0.05250,15.681,5948,1.65,188.40
Kepler-583 b,Kepler-583,0.06890,2.280,5523,0.79325,867.27
HD 62364 c,HD 62364,36.98400,12.000,6255,2.71,53.11
Kepler-1649 c,Kepler-1649,0.06490,1.060,3240,0.00516,92.19
Kepler-1167 b,Kepler-1167,0.01750,1.710,4971,0.29115,820.90
HD 100508 b,HD 100508,6.11000,13.700,5419,0.80501,32.75
WASP-57 b,WASP-57,0.03769,11.769,5600,0.98835,398.28
Kepler-1779 b,Kepler-1779,0.12640,3.033,5730,0.89127,908.50
Kepler-1770 b,Kepler-1770,0.12610,2.841,5602,0.61787,582.94
Kepler-216 b,Kepler-216,0.07900,2.350,6091,3.2988,1187.47
TOI-2768 b,TOI-2768,0.02700,2.630,4008,0.10046,78.45
Kepler-529 d,Kepler-529,0.21340,2.795,6078,1.7418,799.01
Kepler-381 d,Kepler-381,0.08364,1.067,6197,3.2651,267.32
Kepler-296 d,Kepler-296,0.11800,2.090,3740,0.031,167.00
Kepler-1739 b,Kepler-1739,0.06970,2.431,5757,0.72425,783.67
Kepler-278 b,Kepler-278,0.20200,3.955,4965,4.46,443.03
Kepler-615 b,Kepler-615,0.08500,1.740,4655,0.20184,330.00
TOI-6383 A b,TOI-6383 A,0.02292,11.290,3444,0.0326,171.32
Kepler-1638 b,Kepler-1638,0.74500,1.870,5710,0.76913,1525.52
Kepler-1254 d,Kepler-1254,0.05750,1.310,4985,0.2679,622.82
Kepler-752 b,Kepler-752,0.13530,2.810,5373,0.7501,1232.29
Kepler-1692 b,Kepler-1692,0.06460,1.112,5146,0.47397,591.02
K2-45 b,K2-45,0.02240,6.710,4103,0.182,495.32
TOI-4504 b,TOI-4504,0.03392,2.691,5315,0.62,342.61
Kepler-148 b,Kepler-148,0.02800,1.800,5272,0.4136,791.16
Kepler-1760 b,Kepler-1760,0.20840,2.290,5229,0.54954,
HD 167768 b,HD 167768,0.15120,13.900,4851,46.7,107.21
Kepler-6 b,Kepler-6,0.04852,14.617,5647,1.5458,587.04
Kepler-1756 b,Kepler-1756,0.03190,1.472,4915,0.34754,
TOI-4504 d,TOI-4504,0.22190,13.600,5315,0.62,342.61
Kepler-299 e,Kepler-299,0.22000,1.870,5617,0.90465,1052.24
Kepler-1064 b,Kepler-1064,0.11830,1.550,5153,0.39719,374.00
Kepler-766 b,Kepler-766,0.06600,3.390,5992,2.827,2297.62
HD 96700 b,HD 96700,0.07770,2.930,5845,1.38,25.41
Kepler-373 b,Kepler-373,0.06000,1.360,5787,1.6309,1090.45
HD 97048 b,HD 97048,130.00000,13.300,10000,40,183.86
GJ 876 b,GJ 876,0.20832,13.300,3294,0.0124,4.68
HD 164604 b,HD 164604,1.36200,12.300,4663,0.26,39.36
Kepler-208 b,Kepler-208,0.05400,1.630,6092,2.0376,775.33
HATS-13 b,HATS-13,0.04057,13.585,5523,0.4773,421.86
Kepler-1146 b,Kepler-1146,0.03250,1.230,4692,0.2278,703.04
TOI-5300 b,TOI-5300,0.02950,9.864,4610,0.173,162.51
WASP-100 b,WASP-100,0.04574,14.908,6900,5.8306,364.41
Kepler-1643 b,Kepler-1643,0.05310,2.320,4916,0.33763,341.77
XO-4 b,XO-4,0.05524,14.011,6397,3.4323,272.65
Kepler-1969 b,Kepler-1969,0.07170,1.682,6046,0.65933,1204.54
WASP-13 b,WASP-13,0.05362,13.675,5950,2.7312,227.54
TOI-5799 b,TOI-5799,0.03480,1.733,3452,0.0148,27.81
Kepler-1963 b,Kepler-1963,0.02915,0.744,5726,0.55055,492.85
GJ 357 c,GJ 357,0.06100,1.660,3505,0.01591,9.44
HIP 78530 b,HIP 78530,740.00000,12.000,10500,23.356,136.76
Kepler-48 f,Kepler-48,5.71919,13.800,5190,0.51374,306.74
Kepler-426 b,Kepler-426,0.04140,12.220,5725,0.8147,843.70
Kepler-82 f,Kepler-82,0.33950,4.840,5401,0.65303,904.33
NGTS-33 b,NGTS-33,0.04800,18.383,7437,5.91,437.86
HD 113337 b,HD 113337,1.02200,13.100,6774,4.29,36.18
Kepler-1834 b,Kepler-1834,0.04911,1.459,4821,0.26508,500.39
GJ 411 b,GJ 411,0.07879,1.450,3719,0.0195,5.68
Kepler-122 e,Kepler-122,0.22700,2.600,6050,1.8618,1027.45
Kepler-1276 b,Kepler-1276,0.10863,1.190,6188,1.6611,538.48
Kepler-1653 b,Kepler-1653,0.47060,2.170,4807,0.23121,755.00
Kepler-1410 b,Kepler-1410,0.25430,1.780,4092,0.069502,367.00
Kepler-1864 b,Kepler-1864,0.04900,0.754,5854,1.0716,298.89
Kepler-1750 b,Kepler-1750,0.67850,6.004,5644,1.1513,1497.33
WASP-24 b,WASP-24,0.03651,15.468,6075,2.1444,322.11
KELT-8 b,KELT-8,0.04550,18.159,5754,1.8401,197.57
Kepler-304 d,Kepler-304,0.08000,2.750,4731,0.21797,434.68
HD 331093 b,HD 331093,1.44000,13.600,5544,1.015,50.19
K2-110 b,K2-110,0.10207,2.592,5010,0.27097,116.47
K2-32 d,K2-32,0.18422,3.484,5271,0.50574,157.68
Kepler-1101 b,Kepler-1101,0.34830,2.470,5614,0.4453,742.47
Kepler-58 d,Kepler-58,0.23600,2.940,6099,0.99033,969.25
Kepler-1090 b,Kepler-1090,0.63323,2.250,5321,0.71458,858.77
DMPP-1 b,DMPP-1,0.14230,4.260,6196,2.0871,62.54
Kepler-1110 b,Kepler-1110,0.07540,2.660,4781,0.23092,726.83
HD 67087 b,HD 67087,1.08000,13.100,6330,3.4674,76.52
Kepler-334 d,Kepler-334,0.16800,1.410,5828,1.1365,426.59
HD 204941 b,HD 204941,2.55000,10.100,5026,0.31,28.72
TOI-1470 b,TOI-1470,0.02850,2.180,3709,0.0376,51.95
TOI-4342 c,TOI-4342,0.08040,2.349,3866,0.075,61.52
HD 68988 b,HD 68988,0.07000,13.400,5932,1.6666,60.84
TOI-2207 b,TOI-2207,0.08540,11.153,6101,3.05,373.35
HD 48265 c,HD 48265,10.40000,12.900,5805,3.84,90.54
K2-3 b,K2-3,0.07470,2.078,3844,0.0587,44.07
OGLE-TR-182 b,OGLE-TR-182,0.05100,12.666,5924,1.7402,2501.75
HD 96700 d,HD 96700,0.42400,3.610,5845,1.38,25.41
Kepler-208 d,Kepler-208,0.10300,1.200,6092,2.0376,775.33
Kepler-1129 c,Kepler-1129,0.35367,2.730,5831,0.93886,1183.88
Kepler-1553 b,Kepler-1553,0.04810,1.150,5288,0.45908,692.59
Kepler-1374 b,Kepler-1374,0.09180,2.290,5323,0.42841,1078.46
WASP-139 b,WASP-139,0.06200,8.967,5310,0.45149,212.47
HD 4113 b,HD 4113,1.28000,13.500,5688,1.219,41.87
Kepler-639 b,Kepler-639,0.09358,2.380,5896,3.0377,850.24
Kepler-655 b,Kepler-655,0.25697,2.710,6170,2.1079,752.56
FU Tau b,FU Tau,800.00000,12.200,2838,0.2,133.50
HAT-P-14 b,HAT-P-14,0.05960,15.917,6600,4.4068,222.66
Kepler-1461 b,Kepler-1461,0.17150,2.030,4919,0.22655,679.11
GJ 251 b,GJ 251,0.08080,1.790,3342,0.0155,5.58
NGTS-23 b,NGTS-23,0.05040,14.202,6057,1.92,1074.95
HD 13808 c,HD 13808,0.25540,3.130,5035,0.36766,28.23
HD 108874 b,HD 108874,1.04000,13.600,5600,0.99834,59.52
Kepler-340 b,Kepler-340,0.13400,2.530,6620,7.3704,808.76
Kepler-252 c,Kepler-252,0.08000,2.150,4208,0.16381,379.42
HD 125271 b,HD 125271,10.81700,12.400,4704,0.24902,39.35
WASP-93 b,WASP-93,0.04211,17.901,6700,4.148,370.28
Kepler-299 b,Kepler-299,0.04000,1.320,5617,0.90465,1052.24
Kepler-276 b,Kepler-276,0.11900,2.870,6105,0.8138,1144.86
Kepler-958 b,Kepler-958,0.08631,2.060,5421,0.52282,449.77
Kepler-381 b,Kepler-381,0.06600,0.990,6152,3.2651,267.32
Kepler-202 b,Kepler-202,0.04500,1.630,4668,0.23005,285.11
K2-187 c,K2-187,0.03920,1.400,5438,0.63669,330.92
WISPIT 1 c,WISPIT 1,840.00000,12.800,4670,0.47848,230.01
Kepler-1624 b,Kepler-1624,0.03270,6.590,3768,0.047575,258.98
TOI-198 b,TOI-198,0.06750,1.360,3801,0.03281,23.73
Kepler-963 b,Kepler-963,0.08490,2.660,5461,0.59617,771.49
Kepler-846 b,Kepler-846,0.13990,2.480,5579,0.60653,1127.12
TOI-561 b,TOI-561,0.01064,1.397,5342,0.522,85.80
YZ Cet b,YZ Cet,0.01634,0.913,3151,0.002195,3.71
HD 135872 b,HD 135872,4.17200,12.800,4992,8.6497,82.43
K2-271 b,K2-271,0.07700,7.280,5644,0.89162,564.45
WASP-188 b,WASP-188,0.07200,14.818,6850,5.5306,675.28
K2-36 b,K2-36,0.02288,1.430,4916,0.26915,109.75
WASP-97 b,WASP-97,0.03303,12.778,5640,1.1789,151.07
Kepler-1798 b,Kepler-1798,0.10820,2.309,3967,0.11046,395.20
TOI-2992 b,TOI-2992,0.04340,13.753,6000,2.79,542.03
TOI-4201 b,TOI-4201,0.04000,13.675,3794,0.075999,189.01
HD 168863 b,HD 168863,10.96100,12.700,4905,0.31551,39.90
Kepler-495 c,Kepler-495,0.06140,1.219,5392,0.57876,658.92
Kepler-268 c,Kepler-268,0.39100,3.380,6081,2.0801,851.87
K2-268 b,K2-268,0.03080,1.500,5106,0.37203,327.78
Kepler-1584 b,Kepler-1584,0.11680,1.610,6069,1.7876,1416.31
Kepler-1368 b,Kepler-1368,0.01530,1.650,5906,1.124,1635.82
Kepler-924 b,Kepler-924,0.31318,3.070,6167,2.0598,1053.04
Kepler-1542 c,Kepler-1542,0.03870,0.650,5564,1.1756,399.11
Kepler-331 c,Kepler-331,0.10500,1.840,4347,0.1646,580.12
Kepler-1096 b,Kepler-1096,0.03400,1.240,4306,0.1444,377.98
TOI-615 b,TOI-615,0.06780,18.977,6850,5.86,360.41
Kepler-303 c,Kepler-303,0.05700,1.140,3944,0.086,209.74
HD 150010 b,HD 150010,1.40000,13.300,4153,96,144.49
WASP-99 b,WASP-99,0.07170,11.433,6150,3.4938,158.66
HD 56414 b,HD 56414,0.22900,3.710,8500,14.39,272.22
Kepler-1388 b,Kepler-1388,0.08820,2.590,4098,0.078199,453.80
GJ 514 b,GJ 514,0.42200,2.130,3728,0.043,7.62
TOI-628 b,TOI-628,0.04860,11.882,6250,2.48,178.68
Kepler-92 c,Kepler-92,0.19054,2.600,5883,3.6156,477.99
Kepler-552 b,Kepler-552,0.06120,3.950,5863,1.1559,843.69
MASCARA-4 b,MASCARA-4,0.04740,16.982,7800,12.23,170.70
BD+60 1417 b,BD+60 1417,1662.00000,14.684,4993,2.2696,44.95
Kepler-1846 b,Kepler-1846,0.11054,1.764,4825,0.2948,374.62
HD 82943 b,HD 82943,1.18306,13.500,5935,1.5633,27.59
EPIC 248847494 b,EPIC 248847494,4.50000,12.442,4898,3.5322,551.89
HD 147873 b,HD 147873,0.52200,12.800,5972,5.99,109.06
HAT-P-24 b,HAT-P-24,0.04651,14.572,6373,2.5586,415.34
KOI-94 e,KOI-94,0.30460,6.560,6182,3.013,477.05
NGTS-24 b,NGTS-24,0.04790,13.608,5820,2.792,683.06
Qatar-8 b,Qatar-8,0.04740,14.404,5738,1.69,281.50
Kepler-288 c,Kepler-288,0.14000,2.850,5918,1.1378,1194.15
alf Ari b,alf Ari,1.20000,13.400,4553,85.901,20.21
GJ 160.2 b,GJ 160.2,0.05300,3.170,4347,0.16,25.86
HIP 5763 b,HIP 5763,0.17000,14.200,4352,0.18197,31.90
Kepler-1258 b,Kepler-1258,0.01824,0.860,5839,1.2412,717.55
TOI-159 b,TOI-159,0.05600,18.180,7287,6.64,347.59
TOI-6628 b,TOI-6628,0.13400,10.985,5463,0.817,320.53
NSVS 14256825 b,NSVS 14256825,3.12000,12.300,40000,94.111,820.88
TOI-2093 c,TOI-2093,0.25700,2.300,4426,0.1838,82.80
Kepler-33 f,Kepler-33,0.25350,4.460,5904,3.5975,1209.16
HD 233604 b,HD 233604,0.74700,12.700,4791,56.234,847.06
TOI-715 b,TOI-715,0.08300,1.550,3075,0.0049092,42.40
TOI-1266 b,TOI-1266,0.07300,2.520,3563,0.02629,36.01
TOI-1836 b,TOI-1836,0.15970,8.003,6380,3.7,191.65
Kepler-1103 b,Kepler-1103,0.15336,2.270,6092,3.3251,1331.92
WASP-127 b,WASP-127,0.04840,14.695,5620,1.8869,159.51
Kepler-32 f,Kepler-32,0.01300,0.820,3900,0.051,323.85
HD 167677 b,HD 167677,2.87700,13.200,5474,0.73765,54.33
Kepler-1915 b,Kepler-1915,0.11400,3.218,6020,1.1517,1514.66
WASP-121 b,WASP-121,0.02571,19.526,6628,4.4027,269.90
K2-275 c,K2-275,0.08810,2.210,4841,0.25508,123.44
Kepler-968 b,Kepler-968,0.03890,2.000,4598,0.17274,290.32
HD 93963 A b,HD 93963 A,0.02061,1.470,5908,1.169,82.34
Kepler-1734 b,Kepler-1734,0.07140,3.089,6061,1.3933,1482.83
Kepler-1669 d,Kepler-1669,0.04680,1.220,4224,0.15753,543.44
Kepler-993 b,Kepler-993,0.13000,2.970,3843,0.059064,324.42
