planeta,estrela,a_UA,R_Rterra,Teff_K,L_Lsol,distancia_pc
TOI-1659.01,TOI-1659,0.06576,2.255,5977,1.1629,122.49
TOI-237 c,TOI-237,0.01600,1.206,3226,0.0041,38.07
Kepler-564 b,Kepler-564,0.04840,4.630,5626,0.86224,863.04
Kepler-878 b,Kepler-878,0.16500,1.930,5044,0.66938,791.62
Kepler-228 b,Kepler-228,0.03800,1.530,6043,1.2917,1644.61
HD 6434 b,HD 6434,0.14000,14.200,5769,1.122,42.36
CoRoT-7 b,CoRoT-7,0.01702,1.681,5275,0.51359,159.91
TOI-2969 b,TOI-2969,0.02610,12.330,4738,0.26,164.00
Kepler-610 c,Kepler-610,0.55940,3.300,5943,0.77564,845.82
Kepler-1473 b,Kepler-1473,0.11606,1.190,6046,1.5616,652.25
Kepler-447 b,Kepler-447,0.07690,18.490,5493,0.64555,268.04
Kepler-290 d,Kepler-290,0.01540,0.860,5142,0.25947,694.63
HD 34445 e,HD 34445,0.26870,4.260,5836,2.01,46.09
Kepler-384 c,Kepler-384,0.23600,1.130,5577,2.4882,895.68
HD 120084 b,HD 120084,4.21000,12.700,4879,54.68,103.04
Kepler-468 b,Kepler-468,0.22130,13.340,5498,0.51754,442.87
Kepler-191 b,Kepler-191,0.08700,1.340,5282,0.38503,594.46
GJ 680 b,GJ 680,10.13800,12.000,3563,0.030634,9.67
Kepler-917 b,Kepler-917,0.03780,1.910,5418,5.8039,3460.51
TOI-1422 b,TOI-1422,0.10700,3.830,5840,1.116,155.14
Kepler-980 b,Kepler-980,0.09993,2.670,5935,1.8273,961.47
HATS-59 b,HATS-59,0.06112,12.621,5670,0.99001,642.88
HD 73267 c,HD 73267,12.68800,12.800,5387,0.78343,50.41
Kepler-580 b,Kepler-580,0.06830,2.570,4298,0.12698,323.90
HD 152843 c,HD 152843,0.14820,5.940,6310,2.8179,107.90
HD 217786 c,HD 217786,0.03800,2.610,5966,1.89,55.48
HR 8799 c,HR 8799,38.00000,13.000,7205,4.9201,41.24
TOI-4342 b,TOI-4342,0.05190,2.329,3866,0.075,61.52
Kepler-193 c,Kepler-193,0.28600,2.750,6335,1.2577,1009.10
K2-269 b,K2-269,0.05310,1.570,6209,2.9367,360.76
KOI-12 b,KOI-12,0.15400,13.787,6635,4.2311,399.40
Kepler-1773 b,Kepler-1773,0.24831,3.505,6183,2.5388,681.25
NGTS-16 b,NGTS-16,0.05230,14.572,5550,1.3101,898.17
Kepler-637 b,Kepler-637,0.16619,4.750,6096,2.4126,786.09
HD 113337 c,HD 113337,6.80500,12.100,6774,4.29,36.18
K2-30 b,K2-30,0.04839,11.646,5425,0.554,333.04
Kepler-1675 b,Kepler-1675,0.32185,3.125,5853,1.347,651.12
Kepler-1788 b,Kepler-1788,0.03430,2.379,4786,0.24516,560.45
Kepler-497 b,Kepler-497,0.04570,6.040,5834,1.7871,1291.98
Kepler-179 c,Kepler-179,0.06400,2.000,5302,0.52765,605.68
HD 87646 b,HD 87646,0.11700,12.400,5770,9.1142,73.58
Kepler-139 e,Kepler-139,3.23580,13.700,5622,1.0375,391.04
HD 29985 b,HD 29985,13.39000,12.800,4678,0.14249,31.27
Kepler-668 b,Kepler-668,0.07680,2.700,5352,0.40136,784.62
Kepler-56 d,Kepler-56,2.16000,12.800,4819,8.0269,912.99
Kepler-205 b,Kepler-205,0.03200,1.510,4321,0.11062,159.72
Kepler-1156 b,Kepler-1156,0.09704,1.320,5778,0.85503,691.33
HR 858 c,HR 858,0.06870,1.979,6354,2.31,31.96
Kepler-989 b,Kepler-989,0.07340,2.210,5074,0.37421,491.98
HD 165155 b,HD 165155,1.13000,13.200,5426,0.7,63.36
HD 22946 d,HD 22946,0.29580,2.607,6169,1.6188,62.78
HD 13908 b,HD 13908,0.15400,13.900,6255,3.9994,79.55
Kepler-1446 b,Kepler-1446,0.01405,0.820,4865,0.22318,152.07
Kepler-1697 b,Kepler-1697,0.20080,1.260,4682,0.25815,247.77
HD 11112 b,HD 11112,13.38000,12.600,5906,2.38,44.38
Kepler-674 b,Kepler-674,0.02800,1.690,4192,0.12398,342.25
Kepler-1269 b,Kepler-1269,0.23611,1.630,5998,3.595,1097.23
Kepler-1576 b,Kepler-1576,0.07211,1.040,5876,0.86439,460.91
Kepler-1796 b,Kepler-1796,0.18790,2.750,6036,1.312,825.88
Kepler-972 b,Kepler-972,0.07340,4.650,6146,1.5534,1198.03
Kepler-1508 b,Kepler-1508,0.16290,1.330,6158,3.4445,1260.28
Kepler-293 c,Kepler-293,0.28600,3.830,5804,0.58526,974.63
AF Lep b,AF Lep,8.99600,13.000,6140,1.9498,26.86
Kepler-873 b,Kepler-873,0.15420,3.750,6163,1.363,1182.22
TOI-125 d,TOI-125,0.13700,2.930,5320,0.519,111.06
Kepler-669 b,Kepler-669,0.05290,4.830,6038,2.2818,2063.41
Kepler-783 b,Kepler-783,0.04958,0.780,5521,0.5876,516.09
Kepler-142 d,Kepler-142,0.24200,2.160,5790,1.2796,548.69
Kepler-1297 b,Kepler-1297,0.02830,0.970,5818,2.0041,1439.47
HATS-6 b,HATS-6,0.03623,11.187,3724,0.079464,169.32
HD 126525 b,HD 126525,1.83700,10.300,5638,0.91138,37.65
Kepler-319 d,Kepler-319,0.19100,2.290,5526,0.65893,503.44
Kepler-1427 b,Kepler-1427,0.01970,1.100,5793,1.0366,1220.00
Kepler-1959 b,Kepler-1959,0.06170,1.143,5071,0.33601,479.26
HD 109271 b,HD 109271,0.07900,4.310,5783,1.9999,55.87
HD 100546 b,HD 100546,53.00000,77.342,10500,31.623,109.68
HD 158996 b,HD 158996,2.10000,12.300,4069,1034.7,283.66
Kepler-1264 b,Kepler-1264,0.01839,1.180,5791,0.88156,801.99
HD 100777 b,HD 100777,1.06000,13.700,5533,1.05,49.53
Kepler-553 b,Kepler-553,0.04766,4.741,5191,0.53599,728.52
HD 31527 c,HD 31527,0.26630,3.850,5898,1.2,38.45
K2-44 b,K2-44,0.06000,2.433,5912,2.6896,476.70
Kepler-1955 b,Kepler-1955,0.11959,1.167,5825,1.6969,449.35
Kepler-537 b,Kepler-537,0.04317,1.410,5763,0.91466,439.40
HD 217786 b,HD 217786,2.44600,12.300,5966,1.89,55.48
Kepler-1968 b,Kepler-1968,0.06960,1.500,5008,0.22402,750.93
Kepler-322 c,Kepler-322,0.05100,1.670,5388,0.51539,400.48
OGLE-TR-132 b,OGLE-TR-132,0.03035,13.450,6210,2.3496,2012.62
Kepler-1684 b,Kepler-1684,0.22530,2.871,4707,0.19653,622.00
HATS-66 b,HATS-66,0.04714,15.816,6626,5.8501,1477.98
Kepler-171 b,Kepler-171,0.05000,2.340,5642,0.83335,863.86
Kepler-1021 b,Kepler-1021,0.10340,2.330,5431,0.5148,810.08
Kepler-1399 b,Kepler-1399,0.02760,1.250,5735,1.0223,1385.70
