planeta,tempo_desde_meio_transito_h,fluxo_relativo
HAT-P-7 b,0.76118,0.9933217
HAT-P-7 b,0.77752,0.9936916
HAT-P-7 b,0.79387,0.9934880
HAT-P-7 b,0.81022,0.9932641
HAT-P-7 b,0.82657,0.9935534
HAT-P-7 b,0.84291,0.9936075
HAT-P-7 b,0.85926,0.9934798
HAT-P-7 b,0.87561,0.9935747
HAT-P-7 b,0.89195,0.9934905
HAT-P-7 b,0.90830,0.9937591
HAT-P-7 b,0.92465,0.9937496
HAT-P-7 b,0.94099,0.9938009
HAT-P-7 b,0.95734,0.9936217
HAT-P-7 b,0.97369,0.9937348
HAT-P-7 b,0.99004,0.9937772
HAT-P-7 b,1.00638,0.9937507
HAT-P-7 b,1.02273,0.9936155
HAT-P-7 b,1.03907,0.9939198
HAT-P-7 b,1.05542,0.9937796
HAT-P-7 b,1.07177,0.9938034
HAT-P-7 b,1.08811,0.9937881
HAT-P-7 b,1.10446,0.9940402
HAT-P-7 b,1.12081,0.9938060
HAT-P-7 b,1.13716,0.9940498
HAT-P-7 b,1.15350,0.9941772
HAT-P-7 b,1.16985,0.9941355
HAT-P-7 b,1.18619,0.9941930
HAT-P-7 b,1.20254,0.9941021
HAT-P-7 b,1.21889,0.9940237
HAT-P-7 b,1.23524,0.9939851
HAT-P-7 b,1.25158,0.9941060
HAT-P-7 b,1.26793,0.9942445
HAT-P-7 b,1.28427,0.9942046
HAT-P-7 b,1.30062,0.9940561
HAT-P-7 b,1.31697,0.9941285
HAT-P-7 b,1.33332,0.9942754
HAT-P-7 b,1.34966,0.9941997
HAT-P-7 b,1.36601,0.9942217
HAT-P-7 b,1.38236,0.9944100
HAT-P-7 b,1.39870,0.9941957
HAT-P-7 b,1.41505,0.9942337
HAT-P-7 b,1.43139,0.9944274
HAT-P-7 b,1.44774,0.9944164
HAT-P-7 b,1.46409,0.9947139
HAT-P-7 b,1.48044,0.9945736
HAT-P-7 b,1.49678,0.9946214
HAT-P-7 b,1.51313,0.9945850
HAT-P-7 b,1.52948,0.9949341
HAT-P-7 b,1.54582,0.9946470
HAT-P-7 b,1.56217,0.9951080
HAT-P-7 b,1.57852,0.9949320
HAT-P-7 b,1.59486,0.9951841
HAT-P-7 b,1.61121,0.9952373
HAT-P-7 b,1.62756,0.9953493
HAT-P-7 b,1.64390,0.9957290
HAT-P-7 b,1.66025,0.9957531
HAT-P-7 b,1.67660,0.9960614
HAT-P-7 b,1.69294,0.9961868
HAT-P-7 b,1.70929,0.9966444
HAT-P-7 b,1.72564,0.9966833
HAT-P-7 b,1.74198,0.9969572
HAT-P-7 b,1.75833,0.9974879
HAT-P-7 b,1.77468,0.9976418
HAT-P-7 b,1.79102,0.9982420
HAT-P-7 b,1.80737,0.9982885
HAT-P-7 b,1.82372,0.9986116
HAT-P-7 b,1.84006,0.9984495
HAT-P-7 b,1.85641,0.9990330
HAT-P-7 b,1.87276,0.9992210
HAT-P-7 b,1.88910,0.9993822
HAT-P-7 b,1.90545,0.9999091
HAT-P-7 b,1.92180,0.9997268
HAT-P-7 b,1.93814,0.9997362
HAT-P-7 b,1.95449,1.0000951
HAT-P-7 b,1.97084,1.0000870
HAT-P-7 b,1.98718,1.0001124
HAT-P-7 b,2.00353,1.0001423
HAT-P-7 b,2.01988,0.9999988
HAT-P-7 b,2.03623,1.0003230
HAT-P-7 b,2.05257,1.0000865
HAT-P-7 b,2.06892,1.0001349
HAT-P-7 b,2.08526,1.0002801
HAT-P-7 b,2.10161,1.0000160
HAT-P-7 b,2.11796,1.0002426
HAT-P-7 b,2.13431,0.9999028
HAT-P-7 b,2.15065,0.9999982
HAT-P-7 b,2.16700,1.0000263
HAT-P-7 b,2.18335,0.9996593
HAT-P-7 b,2.19969,0.9996759
HAT-P-7 b,2.21604,1.0000436
HAT-P-7 b,2.23239,1.0000154
HAT-P-7 b,2.24873,1.0000771
HAT-P-7 b,2.26508,0.9998583
HAT-P-7 b,2.28143,1.0000958
HAT-P-7 b,2.29777,1.0001257
HAT-P-7 b,2.31412,0.9999442
HAT-P-7 b,2.33047,1.0000782
HAT-P-7 b,2.34681,0.9998966
HAT-P-7 b,2.36316,0.9999630
HAT-P-7 b,2.37951,0.9998895
HAT-P-7 b,2.39585,0.9999729
HAT-P-7 b,2.41220,0.9999504
HAT-P-7 b,2.42855,0.9997351
HAT-P-7 b,2.44489,0.9996024
HAT-P-7 b,2.46124,1.0000996
HAT-P-7 b,2.47759,0.9999811
HAT-P-7 b,2.49393,1.0001795
HAT-P-7 b,2.51028,1.0000787
HAT-P-7 b,2.52663,0.9999726
HAT-P-7 b,2.54297,1.0001103
HAT-P-7 b,2.55932,1.0000581
HAT-P-7 b,2.57567,0.9999762
HAT-P-7 b,2.59202,1.0000095
HAT-P-7 b,2.60836,0.9999839
HAT-P-7 b,2.62471,0.9999768
HAT-P-7 b,2.64106,0.9999692
HAT-P-7 b,2.65740,0.9999261
HAT-P-7 b,2.67375,0.9999525
HAT-P-7 b,2.69010,1.0000027
HAT-P-7 b,2.70644,1.0000190
HAT-P-7 b,2.72279,0.9998442
HAT-P-7 b,2.73914,1.0002039
HAT-P-7 b,2.75548,0.9999041
HAT-P-7 b,2.77183,0.9999644
HAT-P-7 b,2.78818,0.9999646
HAT-P-7 b,2.80453,0.9998308
HAT-P-7 b,2.82087,0.9998784
HAT-P-7 b,2.83722,0.9997908
HAT-P-7 b,2.85356,0.9998812
HAT-P-7 b,2.86991,0.9999989
HAT-P-7 b,2.88626,0.9997405
HAT-P-7 b,2.90260,0.9998713
HAT-P-7 b,2.91895,0.9997699
HAT-P-7 b,2.93530,0.9996143
HAT-P-7 b,2.95164,0.9997001
HAT-P-7 b,2.96799,1.0000822
HAT-P-7 b,2.98434,0.9998137
HAT-P-7 b,3.00068,0.9998981
HAT-P-7 b,3.01703,0.9999058
HAT-P-7 b,3.03338,1.0003165
HAT-P-7 b,3.04972,0.9999053
HAT-P-7 b,3.06607,1.0000568
HAT-P-7 b,3.08242,0.9997756
HAT-P-7 b,3.09877,1.0001323
HAT-P-7 b,3.11511,0.9998514
HAT-P-7 b,3.13146,1.0000874
HAT-P-7 b,3.14780,0.9996996
HAT-P-7 b,3.16415,0.9989356
HAT-P-7 b,3.18050,1.0000857
HAT-P-7 b,3.19685,0.9999995
HAT-P-7 b,3.21319,0.9999818
HAT-P-7 b,3.22954,1.0001579
HAT-P-7 b,3.24589,1.0001522
HAT-P-7 b,3.26223,1.0000920
HAT-P-7 b,3.27858,1.0000040
HAT-P-7 b,3.29493,0.9996851
HAT-P-7 b,3.31127,0.9999490
HAT-P-7 b,3.32762,1.0000721
HAT-P-7 b,3.34397,1.0000908
HAT-P-7 b,3.36032,1.0002089
HAT-P-7 b,3.37666,1.0001097
HAT-P-7 b,3.39301,1.0002479
HAT-P-7 b,3.40935,1.0003548
HAT-P-7 b,3.42570,1.0001983
HAT-P-7 b,3.44205,1.0000853
HAT-P-7 b,3.45839,0.9998276
HAT-P-7 b,3.47474,1.0001384
HAT-P-7 b,3.49109,0.9998099
HAT-P-7 b,3.50743,0.9999779
HAT-P-7 b,3.52378,0.9999309
HAT-P-7 b,3.54013,0.9998669
HAT-P-7 b,3.55647,0.9999600
HAT-P-7 b,3.57282,1.0000806
HAT-P-7 b,3.58917,0.9996309
HAT-P-7 b,3.60551,1.0001464
HAT-P-7 b,3.62186,0.9999933
HAT-P-7 b,3.63821,0.9997363
HAT-P-7 b,3.65455,0.9997833
HAT-P-7 b,3.67090,0.9999054
HAT-P-7 b,3.68725,0.9998671
HAT-P-7 b,3.70359,1.0000060
HAT-P-7 b,3.71994,1.0002774
HAT-P-7 b,3.73629,0.9999913
HAT-P-7 b,3.75264,0.9998435
HAT-P-7 b,3.76898,1.0002618
HAT-P-7 b,3.78533,1.0002031
HAT-P-7 b,3.80167,1.0001792
HAT-P-7 b,3.81802,0.9998869
HAT-P-7 b,3.83437,0.9998286
HAT-P-7 b,3.85072,1.0000620
HAT-P-7 b,3.86706,1.0001487
HAT-P-7 b,3.88341,1.0000680
HAT-P-7 b,3.89976,1.0002183
HAT-P-7 b,3.91610,1.0001120
HAT-P-7 b,3.93245,1.0001649
HAT-P-7 b,3.94880,1.0001766
HAT-P-7 b,3.96514,0.9997341
HAT-P-7 b,3.98149,1.0000797
HAT-P-7 b,3.99784,1.0002078
HAT-P-7 b,4.01418,1.0000749
HAT-P-7 b,4.03053,1.0002679
HAT-P-7 b,4.04688,0.9999845
HAT-P-7 b,4.06322,0.9999257
HAT-P-7 b,4.07957,0.9999340
HAT-P-7 b,4.09592,1.0002502
HAT-P-7 b,4.11226,1.0001730
HAT-P-7 b,4.12861,1.0001621
HAT-P-7 b,4.14496,0.9998689
HAT-P-7 b,4.16130,0.9999224
HAT-P-7 b,4.17765,1.0000889
HAT-P-7 b,4.19400,1.0001765
HAT-P-7 b,4.21034,1.0003250
HAT-P-7 b,4.22669,0.9999708
HAT-P-7 b,4.24304,0.9998606
HAT-P-7 b,4.25938,1.0000069
HAT-P-7 b,4.27573,0.9999534
HAT-P-7 b,4.29208,0.9995968
HAT-P-7 b,4.30843,0.9997748
HAT-P-7 b,4.32477,0.9998511
HAT-P-7 b,4.34112,1.0000808
HAT-P-7 b,4.35746,0.9999483
HAT-P-7 b,4.37381,1.0000257
HAT-P-7 b,4.39016,0.9998236
HAT-P-7 b,4.40651,1.0001283
HAT-P-7 b,4.42285,0.9996773
HAT-P-7 b,4.43920,1.0000832
HAT-P-7 b,4.45554,0.9999461
HAT-P-7 b,4.47189,1.0000250
HAT-P-7 b,4.48824,1.0000283
HAT-P-7 b,4.50459,0.9999788
HAT-P-7 b,4.52093,0.9998808
HAT-P-7 b,4.53728,0.9997420
HAT-P-7 b,4.55363,0.9995974
HAT-P-7 b,4.56997,1.0000869
HAT-P-7 b,4.58632,0.9997325
HAT-P-7 b,4.60267,0.9996170
HAT-P-7 b,4.61901,0.9999007
HAT-P-7 b,4.63536,0.9996926
HAT-P-7 b,4.65171,0.9999769
HAT-P-7 b,4.66805,0.9998019
HAT-P-7 b,4.68440,1.0002176
HAT-P-7 b,4.70075,0.9998323
HAT-P-7 b,4.71709,0.9999708
HAT-P-7 b,4.73344,0.9999819
HAT-P-7 b,4.74979,1.0001831
HAT-P-7 b,4.76613,1.0000962
HAT-P-7 b,4.78248,1.0004557
HAT-P-7 b,4.79883,1.0001364
HAT-P-7 b,4.81517,1.0001413
HAT-P-7 b,4.83152,1.0001808
HAT-P-7 b,4.84787,1.0001924
HAT-P-7 b,4.86421,1.0003177
HAT-P-7 b,4.88056,0.9999053
HAT-P-7 b,4.89691,1.0001556
HAT-P-7 b,4.91325,1.0001410
HAT-P-7 b,4.92960,0.9997235
HAT-P-7 b,4.94595,0.9999814
HAT-P-7 b,4.96230,0.9999803
HAT-P-7 b,4.97864,0.9999656
HAT-P-7 b,4.99499,0.9996820
HAT-P-7 b,5.01133,0.9998160
HAT-P-7 b,5.02768,1.0000475
HAT-P-7 b,5.04403,0.9996524
HAT-P-7 b,5.06038,1.0000478
HAT-P-7 b,5.07672,1.0000785
HAT-P-7 b,5.09307,0.9999653
HAT-P-7 b,5.10941,0.9999216
HAT-P-7 b,5.12576,1.0000573
HAT-P-7 b,5.14211,1.0000913
HAT-P-7 b,5.15846,1.0000964
HAT-P-7 b,5.17480,1.0001118
HAT-P-7 b,5.19115,1.0001855
HAT-P-7 b,5.20750,1.0001236
HAT-P-7 b,5.22384,1.0001341
HAT-P-7 b,5.24019,1.0003599
HAT-P-7 b,5.25654,1.0001291
HAT-P-7 b,5.27288,1.0003692
HAT-P-7 b,5.28923,0.9999445
HAT-P-7 b,5.30558,1.0000777
HAT-P-7 b,5.32192,1.0000969
HAT-P-7 b,5.33827,1.0000425
HAT-P-7 b,5.35462,0.9999616
HAT-P-7 b,5.37096,1.0002873
HAT-P-7 b,5.38731,1.0002227
HAT-P-7 b,5.40366,1.0002277
HAT-P-7 b,5.42000,1.0002790
HAT-P-7 b,5.43635,1.0000385
HAT-P-7 b,5.45270,0.9998999
