pulsar,P_s,Pponto_s_por_s,distancia_kpc
J1233-6312,0.564759389,6.9200e-15,20.49
J1233-6344,0.756891934,3.8780e-15,30.00
J1235-6354,0.256777653,1.9700e-16,27.05
J1236-5033,0.294759771,1.5560e-16,8.29
J1237-6725,2.11097412,2.1900e-15,7.80
J1238+21,1.11859069,1.4456e-15,1.77
J1239+2453,1.3824491,9.6005e-16,0.84
J1239-6832,1.30190811,1.1892e-14,2.89
J1240-4124,0.512242093,1.7390e-15,3.59
J1243-5735,0.471224878,8.0000e-17,19.20
J1243-6423,0.388480921,4.5006e-15,2.00
J1244-5053,0.275207111,9.9980e-16,8.49
J1244-6359,0.14727431,4.4000e-18,12.05
J1244-6531,1.54681894,7.1800e-15,30.00
J1245-6238,2.28309335,1.0920e-14,14.63
J1248-6344,0.198335136,1.6918e-14,23.99
J1248-6444,1.23489349,1.9320e-15,9.55
J1249-6507,0.434444873,1.2100e-17,8.51
J1251-7407,0.327057738,3.6510e-16,5.22
J1252-6314,0.823339271,1.1000e-16,11.00
J1253-5820,0.255496327,2.0996e-15,2.94
J1254-6150,0.184502203,6.2400e-16,2.24
J1255-6131,0.65797363,4.0000e-15,7.36
J1257-1027,0.61730767,3.6270e-16,2.22
J1259-6741,0.663329049,1.2060e-15,2.72
J1300+1240,0.00621853195,1.1433e-19,0.60
J1301-6305,0.184528095,2.6675e-13,15.84
J1301-6310,0.663829648,5.6433e-14,2.06
J1302-6313,0.967846213,6.3300e-15,28.06
J1302-6350,0.0477625075,2.2787e-15,2.30
J1303-6305,2.30664155,2.1800e-15,13.62
J1305-6203,0.427761842,3.2140e-14,24.07
J1305-6256,0.478230933,2.1100e-15,30.00
J1305-6455,0.571646944,4.0320e-15,30.00
J1306-6242,0.981902118,5.8600e-15,22.63
J1306-6617,0.473026471,5.9745e-15,29.16
J1307-6318,4.96242725,2.1100e-14,14.45
J1308+2127,10.3125221,1.1200e-13,
J1308-4650,1.05883304,5.2590e-16,4.91
J1308-5844,0.464699749,8.6390e-15,8.86
J1309-6415,0.619453557,8.7900e-15,30.00
J1309-6526,0.398292163,1.8400e-17,19.94
J1311-1228,0.447517711,1.5086e-16,2.30
J1311-3430,0.00256037103,2.0964e-20,3.72
J1312-5402,0.728154217,1.4800e-16,9.65
J1312-5516,0.849235685,5.7060e-15,6.75
J1312-6400,2.4374325,6.8000e-16,2.21
J1313+0931,0.848932751,8.0000e-16,0.78
J1314-6101,2.9483896,1.1700e-14,9.60
J1316-6232,0.342825398,5.2970e-15,30.00
J1317-5759,2.64219851,1.2560e-14,5.55
J1317-6302,0.261270556,1.0200e-16,30.00
J1319-6056,0.284351393,1.5263e-15,12.64
J1319-6105,0.421118114,1.5012e-15,14.88
J1320-3512,0.458488407,1.9000e-18,0.93
J1320-5359,0.279729147,9.2543e-15,4.23
J1321-5922,1.2790576,2.3700e-15,30.00
J1321+8323,0.670037418,5.6630e-16,0.77
J1322-6241,0.506058414,2.5870e-15,19.91
J1322-6329,2.76420942,1.1080e-14,30.00
J1324-6146,0.844108575,5.5800e-15,30.00
J1324-6302,2.48380369,9.7900e-16,11.03
J1326-5859,0.477990867,3.2380e-15,3.00
J1326-6408,0.792670107,3.1030e-15,15.70
J1326-6700,0.543008579,5.3100e-15,8.50
J1327-0755,0.0026779232,1.7730e-20,2.17
J1327-6222,0.529913192,1.8879e-14,4.00
J1327-6301,0.196478664,1.5296e-15,6.50
J1327-6400,0.280677974,3.1177e-14,30.00
J1328-4357,0.532698803,3.0140e-15,2.29
J1328-4921,1.47872136,6.1000e-16,7.78
J1329-6158,1.56521796,3.3900e-14,8.11
J1331-5245,0.648116647,5.1000e-16,10.50
J1332-3032,0.650434491,5.6030e-16,0.87
J1333-4449,0.345602949,5.4000e-19,2.32
J1334-5839,0.107718216,2.1596e-17,3.89
J1337-6306,0.207953012,3.5580e-16,16.01
J1337-6423,0.00942340672,2.4690e-20,6.30
J1338-6204,1.23898958,1.3854e-14,8.16
J1339-4712,0.137054658,5.3000e-19,1.77
J1339-6618,0.558179222,3.5000e-16,7.62
J1340-6456,0.378622066,5.0512e-15,1.92
J1341-6023,0.627285366,1.9461e-14,7.03
J1341-6220,0.193339746,2.5311e-13,8.55
J1342+2822B,0.00238942076,1.8580e-20,9.90
J1344-6059,0.540102321,4.3000e-17,7.17
J1345-6115,1.25308459,3.2500e-15,5.87
J1346-4918,0.299625107,3.5000e-17,3.90
J1347-5947,0.609961754,1.4160e-14,6.54
J1348-6307,0.927772239,3.7900e-15,8.18
J1349-6130,0.25936286,5.1250e-15,5.82
J1350-5115,0.295699176,7.5260e-16,4.52
J1352-6803,0.628902546,1.2340e-15,14.24
J1354-6249,2.95193833,1.4800e-14,5.62
J1355-5153,0.644301096,2.8130e-15,6.47
J1355-5747,2.03867383,7.1000e-16,7.58
J1355-5925,1.21338123,5.9860e-15,8.43
J1355-6206,0.276603043,3.1000e-18,7.95
J1356-5521,0.507379567,7.2350e-16,8.75
J1357-6429,0.166108328,3.6018e-13,4.09
J1359-6038,0.127500777,6.3385e-15,5.00
J1400-6325,0.0311816011,3.8900e-14,7.00
J1401-6357,0.842789632,1.6726e-14,1.80
J1403-6310,0.399170177,9.0000e-17,6.14
J1403-7646,1.30619781,1.2040e-15,7.03
J1405-4656,0.00760220343,2.7900e-20,0.74
J1405-5641,0.617574685,1.1980e-15,21.30
J1406-5806,0.288349244,6.1100e-16,6.73
J1406-6121,0.213074654,5.4701e-14,9.11
J1407-6048,0.492344207,3.1560e-15,9.70
J1407-6153,0.701614949,8.8500e-15,9.75
J1409-6953,0.528590779,8.4000e-16,12.60
J1410-6132,0.0500519462,3.2000e-14,30.00
J1410-7404,0.278729444,6.7400e-18,2.15
J1412-6111,0.529156398,1.9100e-15,5.95
J1412-6145,0.315224971,9.8660e-14,9.32
J1412+7922,0.0591982124,4.0000e-19,
J1413-6141,0.28562462,3.3344e-13,11.00
J1413-6205,0.1097407,2.7680e-14,
J1413-6222,0.292407702,2.2290e-15,27.74
J1413-6307,0.394945791,7.4343e-15,3.68
J1414-6802,4.63018806,6.3900e-15,6.60
J1415-6621,0.392478973,5.8000e-16,14.40
J1416-5033,0.794882546,1.2000e-16,1.99
J1416-6037,0.295580482,4.2800e-15,5.72
J1418-3921,1.096806,8.8920e-16,5.04
J1418-5945,1.67259568,2.7100e-16,9.31
J1418-6058,0.110573012,1.6939e-13,
J1420-5416,0.935771922,2.3700e-16,4.90
J1420-5625,0.0341171308,6.8000e-20,1.74
J1420-6048,0.0681798766,8.3167e-14,7.65
J1422-6138,0.340967852,9.6836e-14,
J1423-6953,0.33341071,1.4513e-15,6.38
J1424-5556,0.770374846,7.8000e-16,7.71
J1424-5822,0.36673406,3.9430e-15,10.19
J1424-6438,1.0235037,2.4000e-16,8.31
J1425-5723,0.35326292,2.2000e-17,1.46
J1425-5759,0.707867606,7.4200e-16,10.81
J1425-6210,0.50173031,4.8000e-16,9.98
J1427-4158,0.586485556,6.2120e-16,5.89
