planeta,M_Mterra,erro_M,R_Rterra,erro_R
TOI-2374 b,61.6587,4.4496,7.4876,0.2018
WTS-2 b,355.9696,50.8528,15.2779,0.6837
TRAPPIST-1 e,0.6920,0.0220,0.9200,0.0130
HIP 29442 c,4.5000,0.3200,1.5510,0.0450
TOI-3321 b,176.0769,24.1550,15.5581,0.7846
HAT-P-55 b,189.4257,23.2015,14.8407,0.2578
WASP-62 b,165.2716,25.4264,14.7959,0.8967
HATS-45 b,222.4810,47.6745,14.4148,1.0424
Kepler-36 c,7.1300,0.1800,3.6790,0.0960
TOI-784 b,9.6700,0.8300,1.9300,0.1100
HATS-7 b,38.1396,3.8140,6.3107,0.5156
K2-139 b,123.0002,26.3799,9.1100,0.1700
TOI-561 d,13.3300,0.9800,2.6150,0.0590
TOI-1064 b,13.5000,1.7000,2.5870,0.0430
K2-140 b,295.5804,12.7131,13.5629,1.0088
HD 224018 c,10.4000,1.3000,2.4200,0.0700
TOI-178 c,4.6400,0.5200,1.7540,0.0320
TOI-1136 e,6.0700,1.0900,2.6390,0.0720
KELT-7 b,441.7837,69.9226,17.9344,0.6725
WASP-28 b,282.5495,18.4340,13.6637,0.3139
WASP-113 b,150.9692,17.1628,15.7935,1.0761
TOI-1736 b,12.3000,1.5000,3.1818,0.1220
Kepler-5 b,670.9391,21.2946,15.9840,0.4035
WASP-172 b,149.3801,31.7830,17.5981,1.1209
WASP-18 b,3241.8498,111.2399,13.8991,0.8855
Kepler-223 d,8.0000,1.5000,5.2400,0.2600
TOI-2714 b,228.0000,33.0000,13.7200,0.7000
TOI-1472 b,18.0500,0.8400,4.0580,0.0980
TIC 245076932 b,162.0925,12.7131,10.8727,0.5380
CoRoT-1 b,327.3500,38.1400,16.7000,0.9000
TOI-125 c,6.6300,0.9900,2.7590,0.1000
TOI-3714 b,222.4799,9.5349,11.3211,0.3363
HATS-10 b,167.1786,25.7442,10.8615,0.6837
WASP-2 b,295.8997,19.0698,12.1169,0.4596
Kepler-56 c,181.0000,21.0000,9.8000,0.4600
TOI-244 b,2.6800,0.3000,1.5200,0.1200
TOI-5344 b,130.9453,12.7131,10.6037,0.2354
TOI-2010 b,408.7273,17.4806,11.8143,0.3026
WASP-136 b,479.9209,25.4263,16.8135,1.6813
K2-233 d,10.3000,2.4000,2.3630,0.0620
WASP-187 b,254.2640,28.6047,18.3828,0.5605
EPIC 201595106 b,7.6700,0.7500,1.5650,0.0790
WASP-83 b,95.3490,9.5349,11.6574,0.8967
TOI-521 b,5.3000,1.0000,1.9800,0.1400
TOI-4602.01,5.5300,0.9300,2.4500,0.2300
EPIC 229004835 b,10.4000,1.6000,2.3320,0.0800
TOI-178 d,5.2000,0.3900,2.6950,0.0410
TOI-1439 b,38.5000,5.7000,4.2428,0.2301
HAT-P-8 b,406.8224,85.8141,15.6926,1.4572
Kepler-1705 c,5.4200,0.6100,2.0500,0.1400
TOI-3493 b,8.9700,1.1700,3.2200,0.0800
K2-295 b,106.4731,19.7055,10.0545,0.1233
TOI-2567 b,63.8835,10.8062,10.9288,0.3475
Qatar-9 b,378.2177,50.8528,11.3099,0.1569
HD 191939 d,2.8000,0.6000,2.9950,0.0700
WASP-44 b,276.5121,20.0233,12.3299,0.9079
Kepler-99 b,6.1500,1.3000,1.4800,0.0800
TOI-1422 c,14.0000,3.0000,2.6100,0.1400
TOI-1386 b,45.8000,5.8000,6.2164,0.2064
HIP 116454 b,9.7000,1.2000,2.4690,0.1000
HD 93963 A c,18.4000,3.2000,3.1198,0.1350
Kepler-103 c,58.4700,11.1700,5.4539,0.1770
GJ 436 b,22.1000,2.3000,4.1700,0.1680
GJ 486 b,2.7700,0.0760,1.2890,0.0190
TOI-6894 b,53.3952,6.9922,9.5837,0.2466
NGTS-9 b,921.7070,54.0311,11.9936,0.6725
WASP-5 b,502.1500,41.3200,12.1840,0.7620
K2-180 b,11.4100,2.3837,2.4660,0.1098
TOI-654.01,8.7100,1.2500,2.3780,0.0890
HD 73583 c,9.7000,1.8000,2.3900,0.1000
