planeta,M_Mterra,erro_M,R_Rterra,erro_R
HATS-2 b,435.4249,50.8525,12.5765,0.2690
TOI-1451 b,15.2000,2.8000,2.6114,0.1341
WASP-106 b,613.4088,47.6743,12.1057,0.1793
TOI-1259 A b,141.0000,13.0000,11.6000,0.2000
HAT-P-60 b,182.4335,12.0775,18.2818,0.2690
HD 88986 b,17.2000,4.0000,2.4900,0.1800
HD 219134 d,16.1700,0.6400,1.6100,0.0200
WASP-123 b,285.7292,11.4419,15.1321,0.5604
TOI-824 b,18.4670,1.8430,2.9260,0.2020
Kepler-411 b,25.6000,2.6000,2.4010,0.0530
TOI-791 b,9.5000,1.6400,11.1305,0.3699
CoRoT-14 b,2415.4000,190.7000,12.2200,0.7800
TOI-238 b,3.3700,0.4900,1.5590,0.0470
K2-19 b,30.8000,2.5000,7.0000,0.2000
TOI-2373 b,2955.8042,63.5657,10.4244,0.2242
TOI-1288 b,44.1000,2.7000,4.9685,0.1081
TRAPPIST-1 c,1.3080,0.0560,1.0970,0.0140
TOI-1246 e,14.5000,2.3000,3.5142,0.2691
Kepler-289 d,5.3300,0.4300,3.0300,0.0800
K2-32 b,15.0000,1.8000,5.2990,0.1910
K2-25 b,24.5000,5.7000,3.4400,0.1200
TOI-5386 A b,155.1003,15.2558,14.7062,0.3251
TOI-2449 b,222.0000,13.0000,11.2400,0.1000
TOI-1203 b,3.5100,0.3300,1.5200,0.0450
Kepler-56 b,22.1000,3.9000,6.5100,0.2900
Kepler-91 b,257.4423,57.2094,15.3227,0.7734
TRAPPIST-1 f,1.0390,0.0310,1.0450,0.0130
TOI-4458 b,552.0679,30.1937,12.4083,0.2578
TOI-1420 b,25.1000,3.8000,11.8900,0.3300
TOI-4791 b,734.1836,101.7051,12.4420,0.5604
TIC 147027702 b,346.4330,22.2480,10.9288,0.7286
HATS-56 b,191.3337,11.1241,18.9208,0.4372
WASP-154 b,198.9606,40.9999,10.7606,0.6725
HAT-P-43 b,210.3950,19.0690,13.6300,0.6400
NGTS-38 b,1516.0415,123.9531,12.1169,0.5268
TOI-6324 b,1.1700,0.2200,1.0590,0.0410
TOI-172 b,1722.6386,69.9226,10.8167,0.3587
HATS-38 b,23.5194,3.4961,6.8823,0.1906
Kepler-1656 b,47.8000,6.2000,4.5740,0.1060
Kepler-77 b,136.6610,10.1700,10.7610,0.1790
K2-265 b,7.3418,1.4302,1.7082,0.1121
HAT-P-47 b,65.4727,12.3953,14.7174,0.5044
K2-419 A b,196.0000,15.0000,10.5500,0.3900
TOI-756 b,9.8300,1.8000,2.8100,0.1000
TOI-4794 b,308.2936,76.2788,14.3587,0.4932
TOI-5205 b,343.0000,18.0000,11.6000,0.3000
TOI-2338 b,1900.6139,66.7440,11.2090,0.2242
HD 219134 f,7.3000,0.4000,1.3100,0.0200
Kepler-40 b,699.2000,127.1000,13.1100,0.4500
TOI-6651 b,61.0000,7.6000,5.0900,0.2700
WASP-90 b,200.2329,22.2481,18.2707,1.0088
KOI-351 g,15.0000,1.3000,7.7180,0.2060
TOI-519 b,147.1546,26.0619,11.5453,0.3363
TOI-2578 b,167.1777,22.5658,19.6606,0.6501
HD 80653 b,5.7200,0.3600,1.6130,0.0710
TOI-2498 b,34.6200,4.1000,6.0600,0.2900
CoRoT-30 b,921.7070,69.9226,11.3099,0.8519
WASP-98 b,293.0393,25.4264,12.8231,0.3811
Kepler-10 c,11.2900,1.2400,2.3550,0.0220
WASP-47 d,15.5000,0.7000,3.6500,0.0300
TOI-1194 b,120.0000,5.6000,8.7166,0.1554
TOI-837 b,120.4570,18.4340,9.1689,0.3811
TOI-6130 b,333.7198,19.0697,14.3475,0.3363
TOI-5210 b,81.9997,13.0310,10.7270,0.3587
